FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Rajon Rondo,Dal,PG,28,46,28.7,59.8,20.6,0.226,42,0.452,391,0.448,54,0.352,0.46,9.3,4.5,8.6,6.5,34,1.17,0.09,9
Ramon Sessions,Sac,PG,28,36,17.8,37.2,19,0.187,88,0.727,155,0.368,28,0.214,0.442,5.4,1.9,6.1,2.7,22.6,0.36,0,6.8
Ramon Sessions,Was,PG,28,28,19.5,40.6,18.9,0.157,85,0.812,119,0.412,32,0.406,0.547,7.4,2.7,7.7,3.1,23.4,0.57,0,8.1
Randy Foye,Den,SG,31,50,21.7,45.3,19.6,0.123,55,0.818,139,0.388,263,0.357,0.51,8.7,1.7,4.2,2.4,17,0.68,0.22,6.1
Rasual Butler,Was,SF,35,75,20.1,41.8,18.2,0.081,67,0.791,282,0.45,235,0.387,0.531,7.7,2.6,7.4,0.8,6.5,0.4,0.29,5
Ray McCallum,Sac,PG,23,68,21.1,44,18.5,0.144,84,0.679,359,0.479,111,0.306,0.496,7.4,2.6,7.1,2.8,21.3,0.66,0.16,7.2
Raymond Felton,Dal,PG,30,29,9.7,20.2,21,0.138,15,0.8,72,0.458,34,0.294,0.48,3.7,0.9,5.1,1.4,22.4,0.38,0.14,6.9
Reggie Bullock,Lac,SF,23,25,10.5,21.9,10.8,0.096,5,0.8,15,0.533,39,0.385,0.578,2.6,1.6,8.6,0.2,3.1,0.36,0.08,3.6
Reggie Bullock,Pho,SF,23,11,6.8,14.3,11.7,0.101,4,0.5,9,0.111,7,0,0.113,0.4,0.9,7.3,0.2,3.4,0.09,0.18,2.4
Reggie Evans,Sac,PF,34,47,16.3,33.9,13.2,0.2,97,0.619,135,0.43,2,0,0.49,3.7,6.4,22.2,0.7,6.1,0.47,0.11,6.3
Reggie Jackson,Okc,PG,24,50,28,58.2,22.4,0.127,115,0.861,418,0.49,158,0.278,0.511,12.8,4,7.7,4.2,24.3,0.84,0.1,8.6
Reggie Jackson,Det,PG,24,27,32.2,67.2,28.9,0.17,103,0.796,337,0.46,83,0.337,0.511,17.6,4.7,7.9,9.2,51.2,0.74,0.15,11.3
Reggie Williams,San,SF,28,20,5.3,10.9,18.8,0.047,4,1,20,0.6,19,0.158,0.454,1.9,0.9,9.2,0.5,14.4,0.05,0,7.2
Richard Jefferson,Dal,SF,34,74,16.8,35,15.5,0.122,114,0.684,169,0.462,155,0.426,0.577,5.8,2.5,8.1,0.8,7,0.43,0.15,5.4
Ricky Ledo,Nyk,SG,22,12,19.4,40.5,24.6,0.195,20,0.75,66,0.333,24,0.417,0.45,7.4,2.8,8.4,1.5,13.1,0.5,0.08,6.5
