FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,VI,SPG,BPG
Troy Murphy,Bos,PF,30,17,10.2,20.8,14,0.138,13,0.846,28,0.536,10,0.1,0.503,2.6,2.2,13.5,0.4,5.1,5.2,0.47,0.06
Troy Murphy,Njn,PF,30,18,15.8,30.6,15.8,0.135,17,0.529,53,0.415,23,0.174,0.389,3.6,4.1,15.4,0.9,9.4,6,0.39,0.11
Travis Outlaw,Njn,SF,26,82,28.6,58.5,17.4,0.081,171,0.772,478,0.414,252,0.302,0.469,9.2,4,8.2,1,5.9,4.7,0.41,0.45
Tony Parker,San,PG,28,78,32.2,66.7,25.7,0.143,303,0.769,999,0.531,70,0.357,0.569,17.5,3.1,5.5,6.6,35.5,8.8,1.14,0.04
Tayshaun Prince,Det,SF,30,78,32.7,67.3,21.2,0.071,168,0.702,903,0.486,98,0.347,0.511,14.1,4.2,7.9,2.8,14.5,6.7,0.38,0.53
Thabo Sefolosha,Okc,SG,26,79,25.7,52.7,9.4,0.13,79,0.747,231,0.558,102,0.275,0.545,5.1,4.4,10,1.4,7.9,4.9,1.23,0.48
Tiago Splitter,San,C,25,60,12.1,25.1,18,0.112,140,0.543,190,0.532,1,0,0.55,4.6,3.4,16,0.4,5.4,6.1,0.48,0.28
Tyrus Thomas,Cha,PF,24,41,20.8,42.8,25.1,0.143,136,0.787,328,0.476,3,0,0.536,10.2,5.5,15.9,0.7,6.3,6.5,0.73,1.61
Terrence Williams,Njn,SF,23,10,20.4,37.5,23.3,0.244,10,0.5,61,0.41,12,0.333,0.433,6.7,3.6,10.4,3.1,25.9,8.3,0.5,0
Thaddeus Young,Phi,PF,22,82,25.8,53.1,22.2,0.097,174,0.707,825,0.548,22,0.273,0.566,12.7,5.3,11.8,1,6.8,6.3,1.1,0.32
Udonis Haslem,Mia,PF,30,13,26.3,53,14.9,0.129,20,0.8,86,0.512,0,0,0.549,8,8.2,18.4,0.5,2.8,4.9,0.54,0.23
Vince Carter,Orl,SG,34,22,30,60.8,23.5,0.107,75,0.747,188,0.521,78,0.346,0.557,15.1,4.1,8,2.9,17.4,7.5,0.91,0.14
Vince Carter,Pho,SG,34,51,27,54.9,23.6,0.075,98,0.735,382,0.458,243,0.366,0.516,13.5,3.6,7.7,1.6,9.7,6.3,0.92,0.33
Vladimir Radmanovic,Gol,SF,29,74,15.6,32.3,14.9,0.146,34,0.882,145,0.462,173,0.405,0.562,5.1,2.9,10.4,1.1,9.7,6.5,0.59,0.59
Will Bynum,Det,PG,28,61,18.3,37.6,22.7,0.153,122,0.836,356,0.466,50,0.32,0.524,7.9,1.2,4.1,3.2,28.9,6.8,0.85,0.07
Wilson Chandler,Den,SF,23,21,30.4,63,20.7,0.125,42,0.81,166,0.452,75,0.347,0.505,12.5,5,9.5,1.6,8.3,6.1,0.67,1.1
Wilson Chandler,Nyk,SF,23,51,34.3,70.9,21.1,0.081,119,0.807,467,0.518,245,0.351,0.548,16.4,5.9,9.9,1.7,8.1,6.4,0.67,1.35
Wayne Ellington,Min,SG,23,62,18.9,39,17.2,0.112,53,0.792,276,0.406,121,0.397,0.488,6.6,1.7,5.1,1.2,9.6,5,0.45,0.05
Willie Green,Nor,SG,29,77,21.4,44.2,20.8,0.093,100,0.78,454,0.476,155,0.348,0.515,8.7,2.1,5.9,1,7.8,4.9,0.47,0.17
Wesley Johnson,Min,SF,23,79,26,53.9,17,0.116,92,0.696,393,0.427,289,0.356,0.491,9,3,6.5,1.9,11.2,5.7,0.73,0.68
Wesley Matthews,Por,SG,24,82,33.4,69.2,21.4,0.11,315,0.844,601,0.476,378,0.407,0.582,15.9,3.1,5.8,2,10.2,5.5,1.24,0.11
Xavier Henry,Mem,SG,19,38,13.7,27.9,17,0.066,52,0.635,143,0.441,17,0.118,0.451,4.3,1,4.2,0.5,5.1,3.8,0.29,0.08
Yi Jianlian,Was,PF,23,63,17.5,35.8,17.6,0.116,91,0.681,334,0.425,13,0.231,0.459,5.6,3.9,12.9,0.4,3.6,4.7,0.43,0.51
Zabian Dowdell,Pho,PG,26,24,11.9,23.5,25.5,0.18,17,0.941,115,0.417,10,0.3,0.457,5,0.8,4,2.1,28.5,6.8,0.83,0.08
Zydrunas Ilgauskas,Mia,C,35,72,15.7,32.5,16.2,0.133,46,0.783,318,0.509,1,0,0.531,5,4,15.1,0.4,3.7,5.1,0.31,0.82
Zaza Pachulia,Atl,C,26,79,15.5,32.3,14.7,0.182,179,0.754,232,0.461,0,0,0.562,4.4,4.2,16.3,0.7,7.1,6.1,0.43,0.28
Zach Randolph,Mem,PF,29,75,36.1,74.5,25.2,0.1,396,0.758,1144,0.516,43,0.186,0.552,20.1,12.2,20.2,2.2,10.3,9,0.84,0.33
