FULL NAME,TEAM,POS,AGE,GP,MPG,ORTG,DRTG,USG%,TO%,3PA,3P%,FTA,FT%,eFG%,TS%,MPG,PPG,RPG,APG,VI,,
Dan Gadzuric,Mil,C,31,32,50,96.4,101.5,17.3,0.132,0,0,25,0.4,0.443,0.444,9.6,2.8,2.9,0.4,2.2,,
Danilo Gallinari,Nyk,SF,21,81,1,113,112.3,19.2,0.094,488,0.381,307,0.818,0.524,0.575,33.7,15.1,4.9,1.7,6.5,,
Devean George,Gol,SF,32,45,37,113.2,111.5,13,0.066,120,0.392,23,0.696,0.549,0.561,16.1,5.3,2.5,0.7,3,,
Daniel Gibson,Cle,SG,23,56,26,117.3,108,14.4,0.111,149,0.477,49,0.694,0.599,0.613,18.9,6.3,1.3,1.3,3.2,,
Drew Gooden,Lac,PF,28,24,58,110.5,109.9,22.9,0.143,2,0,101,0.921,0.492,0.572,30,14.8,9.4,0.9,6.3,,
Drew Gooden,Dal,PF,28,46,36,108.2,103.7,19.6,0.127,6,0.167,115,0.809,0.469,0.528,22.2,8.9,6.9,0.6,4.5,,
Danny Granger,Ind,SG,26,62,20,108.6,107.3,28.4,0.106,438,0.361,428,0.848,0.498,0.564,36.6,24.1,5.5,2.8,8.3,,
Donte Greene,Sac,SF,21,76,6,100.7,110.9,19.7,0.132,183,0.377,140,0.643,0.505,0.527,21.2,8.5,3.1,0.9,3.9,,
Devin Harris,Njn,PG,26,64,18,103.7,112.4,25.7,0.147,217,0.276,386,0.798,0.437,0.512,34.5,16.9,3.2,6.6,9,,
Dwight Howard,Orl,C,24,82,0,113.7,95.3,24,0.187,7,0,816,0.592,0.612,0.63,34.5,18.3,13.2,1.8,9.4,,
Dahntay Jones,Ind,SG,29,76,6,100,110.2,19.9,0.148,32,0.125,257,0.77,0.464,0.527,24.7,10.2,3,2,5.3,,
DeAndre Jordan,Lac,C,21,70,12,101,107.8,15,0.203,2,0,128,0.375,0.605,0.571,16,4.8,5,0.3,2.9,,
David Lee,Nyk,PF,26,81,1,116.2,108.8,23.7,0.119,8,0,330,0.812,0.545,0.584,37.1,20.2,11.7,3.6,11.6,,
Darko Milicic,Min,C,24,24,58,100.1,109.5,16.8,0.142,1,0,28,0.536,0.492,0.499,25.4,8.3,5.5,1.8,6.3,,
Dirk Nowitzki,Dal,PF,31,81,1,116.1,105.8,28.5,0.078,121,0.421,586,0.915,0.498,0.578,37.3,25,7.7,2.7,9.2,,
Derrick Rose,Chi,PG,21,78,4,106.8,109.5,27.3,0.123,63,0.286,330,0.767,0.496,0.532,36.4,20.5,3.7,6,9.3,,
Darius Songaila,Nor,PF,31,75,7,99.4,109.6,19.7,0.135,6,0.167,74,0.811,0.495,0.522,18.6,7.2,3.1,0.9,3.7,,
DeShawn Stevenson,Dal,SG,28,24,58,84.5,110.6,12.2,0.085,25,0.32,10,0.7,0.35,0.38,10.9,2,1.1,0.5,1.8,,
DeShawn Stevenson,Was,SG,28,40,42,82.9,113.1,10.4,0.174,62,0.177,25,0.72,0.335,0.382,15.2,2.2,1.6,1.1,3,,
DaJuan Summers,Det,SF,28,44,38,96.8,114.2,19.6,0.098,42,0.357,38,0.711,0.412,0.457,9,3,1,0.4,1.5,,
Dwyane Wade,Mia,SG,28,77,5,113.6,103.4,35,0.122,244,0.299,702,0.761,0.5,0.562,36.1,26.6,4.8,6.5,10.4,,
David West,Nor,PF,29,81,1,111.5,110.4,24.1,0.112,27,0.259,342,0.865,0.508,0.56,36.2,19,7.5,3,9.3,,
Delonte West,Cle,SG,26,60,22,106.7,104.8,18.5,0.153,77,0.325,142,0.81,0.474,0.53,24.8,8.8,2.8,3.3,6.1,,
