,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Stephen Curry,Gol,G,33.04,40,33.7,70.1,32.6,11.7,218,0.927,353,0.561,460,0.409,0.59,0.639,29.1,5.3,8.4,6.2,32.7,1.35,0.08,3.03,11.7,118.1,108.9
Nate Darling,Cha,G,22.58,2,3.6,7.4,24.1,0,0,0,0,0,4,0.25,0.375,0.375,1.5,0,0,0.5,20.2,0,0,0,0,,
Anthony Davis,Lal,F-C,28.05,23,32.8,68.4,28,9.3,130,0.715,325,0.575,58,0.293,0.555,0.588,22.5,8.4,14.2,3,16,1.35,1.78,1.96,10.1,115.5,101.3
Ed Davis,Min,C-F,31.82,19,13.9,29,8.3,11.4,8,0.875,43,0.419,0,0,0.419,0.462,2.3,5.1,19.7,1,9.4,0.53,0.53,0.32,6.5,121.9,96.4
Terence Davis,Tor,G,23.87,34,14.5,30.2,21.6,11.7,18,0.889,88,0.489,122,0.361,0.519,0.537,6.9,1.9,7.4,1.1,11.6,0.5,0.21,0.85,6.7,100.2,107.5
Terence Davis,Sac,G,23.87,2,18.1,37.6,21.6,16.5,5,0.8,3,0.667,10,0.4,0.615,0.658,10,2.5,7.7,2,15.2,1.5,0,1.5,8.1,115.6,112.5
DeMar DeRozan,San,G-F,31.64,37,33.8,70.5,24.6,9.2,246,0.882,472,0.513,60,0.3,0.506,0.59,20.4,4.4,6.8,7.2,32.6,1.03,0.27,1.76,10.2,122.8,109.5
Mamadi Diakite,Mil,F,24.19,5,9.8,20.5,13.7,0,0,0,13,0.538,3,0,0.438,0.438,2.8,2.8,15,0.8,10.5,0,0.8,0,7.5,113.5,103.8
Hamidou Diallo,Okc,G,22.66,32,23.8,49.5,23.1,12.1,132,0.629,256,0.512,41,0.293,0.502,0.536,11.9,5.2,11.4,2.4,16.3,0.97,0.38,1.53,8.9,105.5,101.8
Hamidou Diallo,Det,G,22.66,2,22.9,47.7,19,10,9,0.889,12,0.583,2,0.5,0.607,0.696,12.5,6,14.6,1.5,10.7,0.5,1,1,8.4,134.1,104.5
Gorgui Dieng,Mem,C,31.2,22,16.9,35.2,16.9,14.8,43,0.884,60,0.55,48,0.479,0.625,0.682,7.9,4.5,14.1,1.3,10.7,0.77,0.64,1,8.5,126.7,101.3
